row_id,status,predicted_class,logits,preprocess_us,inference_us,total_us
0,OK,3,-1264 -2642 -537 1148 -135,21,280,301
1,OK,3,-1385 -1523 -611 984 83,21,279,300
2,OK,3,-1747 -2016 -703 1163 -93,21,280,301
3,OK,3,-1545 -1155 -739 852 174,21,280,301
4,OK,2,-2700 -952 213 75 -324,21,280,301
5,OK,3,-1362 -1218 -717 868 202,21,279,300
6,OK,3,-1441 -1452 -636 956 139,21,279,300
7,OK,3,-1309 -2418 -610 1012 -294,20,279,299
8,OK,3,-3166 -1014 -1255 1136 387,21,279,300
9,OK,3,-2188 -1460 -543 1047 32,21,282,303
10,OK,3,-1347 -1332 -580 891 -75,21,280,301
11,OK,3,-1772 -1136 -660 867 201,22,280,302
12,OK,3,-1403 -1338 -694 919 53,22,279,301
13,OK,3,-1425 -1223 -714 874 200,21,280,301
14,OK,3,-1902 -1037 -468 764 -101,22,283,305
15,OK,3,-1338 -1521 -603 983 62,21,279,300
16,OK,3,-1264 -1464 -617 903 85,21,280,301
17,OK,2,-2105 -1493 515 -584 -797,21,282,303
18,OK,3,-1355 -1981 -623 1052 -184,21,279,300
19,OK,2,-819 -2572 579 -667 -755,21,283,304
20,OK,3,-1363 -4486 -572 1053 -396,21,280,301
21,OK,3,-1277 -3212 -305 919 -537,21,279,300
22,OK,3,-1608 -1269 -722 915 218,21,282,303
23,OK,3,-1323 -1357 -661 906 152,21,282,303
24,OK,3,-1533 -1304 -769 920 64,21,280,301
25,OK,3,-1286 -1673 -599 994 52,22,278,300
26,OK,3,-1448 -1317 -703 918 125,22,279,301
27,OK,3,-1689 -2859 -585 1091 -301,21,283,304
28,OK,3,-1355 -4810 -515 986 -496,21,283,304
29,OK,3,-1484 -1369 -667 936 34,21,280,301
30,OK,3,-1399 -1512 -619 937 85,21,279,300
31,OK,3,-1480 -1497 -595 925 181,22,281,303
32,OK,3,-1427 -1546 -591 978 123,21,279,300
33,OK,2,-923 -2366 626 -630 -828,21,279,300
34,OK,3,-1798 -1882 -556 1150 -206,21,280,301
35,OK,3,-1984 -1390 -465 996 156,21,283,304
36,OK,3,-1302 -3152 -560 1119 -87,21,284,305
37,OK,3,-1385 -1344 -692 927 138,21,280,301
38,OK,3,-2465 -1416 -409 1045 61,22,280,302
39,OK,3,-1325 -1425 -644 957 74,22,279,301
40,OK,3,-1114 -4033 -526 990 -449,21,280,301
41,OK,3,-1685 -1135 -728 868 215,21,283,304
42,OK,3,-1445 -1452 -624 979 90,21,282,303
43,OK,3,-1489 -1286 -687 904 174,21,282,303
44,OK,3,-1525 -1440 -627 977 21,21,282,303
45,OK,3,-1451 -1263 -705 896 192,21,283,304
46,OK,3,-1847 -1616 -578 1103 -54,21,279,300
47,OK,3,-1334 -1318 -674 903 108,22,282,304
48,OK,3,-1285 -1453 -597 970 212,21,280,301
49,OK,2,-1543 -1876 165 140 -227,21,280,301
50,OK,3,-1305 -1289 -683 892 144,22,279,301
51,OK,3,-2859 -2797 -691 1301 -183,22,280,302
52,OK,3,-1658 -3142 -913 1349 335,22,280,302
53,OK,3,-1526 -1322 -670 927 155,21,279,300
54,OK,3,-1056 -1164 -664 795 60,22,279,301
55,OK,3,-1348 -1447 -620 966 59,22,279,301
56,OK,3,-1448 -1504 -623 947 138,21,279,300
57,OK,0,790 -3391 -158 -1558 -156,21,280,301
58,OK,3,-1367 -1452 -600 955 100,21,279,300
59,OK,3,-1750 -3151 -757 1222 -155,21,280,301
60,OK,3,-2127 -1224 -306 913 67,21,283,304
61,OK,3,-1351 -1461 -619 902 147,22,279,301
62,OK,3,-1385 -1340 -701 852 218,21,279,300
63,OK,3,-1463 -1344 -770 956 177,21,279,300
64,OK,3,-1275 -3115 -439 975 -459,21,279,300
65,OK,3,-2114 -1433 -669 1069 202,21,280,301
66,OK,3,-1308 -1463 -617 922 114,21,279,300
67,OK,3,-1496 -1153 -798 849 154,21,280,301
68,OK,3,-1149 -1731 -611 992 -112,22,279,301
69,OK,3,-1516 -1227 -739 899 228,21,283,304
70,OK,3,-1462 -1483 -605 978 154,21,279,300
71,OK,3,-1323 -1586 -599 957 133,22,279,301
72,OK,3,-1474 -1340 -704 944 176,21,279,300
73,OK,3,-1397 -1181 -660 825 -20,21,279,300
74,OK,0,1419 -3821 -513 -1777 -126,20,285,305
75,OK,3,-1271 -1565 -608 974 65,21,282,303
76,OK,3,-1570 -1346 -676 935 96,22,282,304
77,OK,3,-1592 -1424 -574 961 -93,21,279,300
78,OK,3,-1395 -1724 -535 1048 -230,20,280,300
79,OK,3,-1567 -1295 -760 941 199,22,282,304
80,OK,3,-1287 -3359 -527 1013 -428,21,282,303
81,OK,3,-1241 -3645 -549 1013 -450,21,282,303
82,OK,3,-1205 -2150 -440 926 -326,21,282,303
83,OK,3,-1567 -1611 -642 1050 -254,21,283,304
84,OK,2,-2347 -928 107 -226 -657,20,281,301
85,OK,3,-1357 -1433 -660 869 161,22,281,303
86,OK,3,-1332 -1419 -652 955 84,22,279,301
87,OK,3,-1379 -1294 -694 897 136,21,279,300
88,OK,3,-1206 -1671 -493 983 -141,21,279,300
89,OK,3,-1645 -1194 -750 886 205,21,279,300
90,OK,2,-2016 -2413 692 -521 -723,21,280,301
91,OK,3,-1595 -1226 -907 917 156,21,280,301
92,OK,3,-1485 -1434 -629 916 172,21,279,300
93,OK,3,-1485 -1564 -566 1021 -85,21,280,301
94,OK,3,-1348 -1435 -651 875 162,21,280,301
95,OK,3,-1462 -1545 -774 1033 -77,21,279,300
96,OK,3,-1586 -1188 -769 884 187,21,280,301
97,OK,3,-1217 -1702 -708 1094 -17,22,282,304
98,OK,3,-1721 -1156 -791 892 227,22,280,302
99,OK,4,-1814 -2118 -689 102 1335,21,285,306
100,OK,3,-1009 -2230 -832 1020 -267,22,279,301
101,OK,4,-120 -2552 -309 -993 578,21,285,306
102,OK,3,-1113 -2424 -576 992 -255,21,279,300
103,OK,3,-1637 -1373 -662 909 271,21,279,300
104,OK,3,-1591 -1391 -637 966 103,21,279,300
105,OK,3,-4455 -976 -1384 679 90,21,280,301
106,OK,3,-1492 -1845 -558 1040 -123,21,279,300
107,OK,3,-1080 -2283 -624 1005 -244,21,280,301
108,OK,3,-1485 -1308 -720 934 195,21,280,301
109,OK,3,-1236 -3498 -562 1101 -279,21,280,301
